,dsf_number_s_,final_estimate_of_actual_costs_through_end_of_phase_amount,project_budget_amount,project_building_identifier,project_description,project_geographic_district_,project_phase_actual_end_date,project_phase_actual_start_date,project_phase_name,project_phase_planned_end_date,project_school_name,project_status_name,project_type_,total_phase_actual_spending_amount,budget_label
297,"DSF: 0000733307, 0000756105, 0000756107, 0000756109, 0000775792",257301,177060,K049,PARAPETS/FLOOD ELIMINATION/ROOFS/MASONRY/GYM UPG,14,2013-04-15 00:00:00,2012-06-25 00:00:00,Scope,2013-05-15 00:00:00,I.S. 49,Complete,SCA CIP,257283,1
298,DSF: 0000800530,49499,50000,K050,FY15 RESO A TECHNOLOGY,14,2017-05-02 15:32:05.469136,2015-08-03 00:00:00,Purch & Install,2015-08-25 00:00:00,J.H.S. 050 JOHN D. WELLS,In-Progress,DIIT - RESOA,49499,0
304,DSF: 0000801977,69657,DOES,K052,TOILETS - STUDENTS,22,2017-05-02 15:32:05.469136,2015-07-31 00:00:00,Construction,DOES,P.S. 52 - BROOKLYN,In-Progress,DOE - Skilled Trades,69657,3
305,DSF: 0000776036,149926,167690,K052,IP SURVEILLANCE CAMERAS,22,2015-09-30 00:00:00,2014-07-14 00:00:00,"CM, F&E",2015-05-09 00:00:00,P.S. 52 - BROOKLYN,Complete,SCA CIP,121081,1
306,"DSF: 0000025073, 0000756169, 0000756171",416560,533896,K052,PARAPET BULGING BRICK/ROOFS/EXT. MASONRY,22,2015-09-29 00:00:00,2014-08-11 00:00:00,"CM, F&E",2015-11-03 00:00:00,P.S. 52 - BROOKLYN,Complete,SCA CIP,414648,2
307,"DSF: 0000025073, 0000756169, 0000756171",6574632,6839936,K052,PARAPET BULGING BRICK/ROOFS/EXT. MASONRY,22,2015-09-29 00:00:00,2014-08-11 00:00:00,Construction,2015-11-03 00:00:00,P.S. 52 - BROOKLYN,Complete,SCA CIP,6011364,3
308,DSF: 0000776036,408242,326107,K052,IP SURVEILLANCE CAMERAS,22,2015-09-30 00:00:00,2014-07-14 00:00:00,Construction,2015-05-09 00:00:00,P.S. 52 - BROOKLYN,Complete,SCA CIP,260736,2
309,"DSF: 0000025073, 0000756169, 0000756171",371686,382221,K052,PARAPET BULGING BRICK/ROOFS/EXT. MASONRY,22,2014-01-16 00:00:00,2013-08-13 00:00:00,Design,2014-01-16 00:00:00,P.S. 52 - BROOKLYN,Complete,SCA CIP,370786,2
310,DSF: 0000776036,21066,25633,K052,IP SURVEILLANCE CAMERAS,22,2014-04-17 00:00:00,2014-01-10 00:00:00,Design,2014-05-15 00:00:00,P.S. 52 - BROOKLYN,Complete,SCA CIP,16743,0
311,DSF: 0000776036,15474,8544,K052,IP SURVEILLANCE CAMERAS,22,2014-01-09 00:00:00,2013-06-27 00:00:00,Scope,2013-11-25 00:00:00,P.S. 52 - BROOKLYN,Complete,SCA CIP,15474,0
312,"DSF: 0000025073, 0000756169, 0000756171",155459,101925,K052,PARAPET BULGING BRICK/ROOFS/EXT. MASONRY,22,2013-07-23 00:00:00,2013-04-02 00:00:00,Scope,2013-08-02 00:00:00,P.S. 52 - BROOKLYN,Complete,SCA CIP,151259,1
313,DSF: 0000776694,DIIT,DIIT,K054,CLASSROOM CONNECTIVITY,13,2015-10-13 00:00:00,2015-07-01 00:00:00,Purch & Install,2016-07-01 00:00:00,P.S. 54 - BROOKLYN,Complete,DIIT - Project Conne,0,3
314,DSF:,48510,DOEL,K054,LEAD PAINT ABATEMENT,13,2015-08-27 00:00:00,2015-06-26 00:00:00,Construction,2015-08-27 00:00:00,P.S. 54 - BROOKLYN,Complete,DOE - Lead Paint,48510,3
315,DSF: 0000777460,111782,FTK,K054,LL26-EXIT SIGNS,13,2017-05-02 15:32:05.469136,2014-01-16 00:00:00,Construction,FTK,P.S. 54 - BROOKLYN,In-Progress,Fast Track Projects,14119,3
316,DSF: 0000712047,101915,120520,K054,ELECTRICAL SYSTEMS,13,2017-05-02 15:32:05.469136,2012-09-10 00:00:00,"CM, F&E",2013-12-03 00:00:00,P.S. 54,In-Progress,SCA CIP,101279,1
317,DSF: 0000712047,571581,599980,K054,ELECTRICAL SYSTEMS,13,2017-05-02 15:32:05.469136,2012-09-10 00:00:00,Construction,2013-12-03 00:00:00,P.S. 54,In-Progress,SCA CIP,519493,2
318,DSF: 0000712047,50684,47160,K054,ELECTRICAL SYSTEMS,13,2012-03-26 00:00:00,2011-11-01 00:00:00,Design,2012-04-05 00:00:00,P.S. 54,Complete,SCA CIP,50684,0
319,DSF: 0000712047,9394,15720,K054,ELECTRICAL SYSTEMS,13,2011-10-18 00:00:00,2011-09-14 00:00:00,Scope,2012-01-19 00:00:00,P.S. 54,Complete,SCA CIP,9394,0
320,DSF: 0000776235,301409,DIIX,K055,NEW/RETROFIT TELEPHONE/INTERCOM SYSTEMS,23,2015-11-25 00:00:00,2013-06-24 00:00:00,Purch & Install,2013-12-31 00:00:00,I.S. 493 - BROOKLYN,Complete,DIIT - PBX Telephone,301409,3
321,DSF: 0000775969,41912,84450,K055,AUDITORIUM AV,23,2017-05-02 15:32:05.469136,2013-11-22 00:00:00,Construction,DOER,I.S. 493 - BROOKLYN,In-Progress,DOE- RESOA,41912,1
322,DSF: 0000799685,21700,28552,K056,ELECTRICAL LIGHTING FIXTURES,13,2017-05-02 15:32:05.469136,2015-05-11 00:00:00,"CM, F&E",2016-02-04 00:00:00,P.S. 56 - BROOKLYN,In-Progress,RCT CIP,21700,0
323,DSF: 0000799685,183289,148598,K056,ELECTRICAL LIGHTING FIXTURES,13,2017-05-02 15:32:05.469136,2015-05-11 00:00:00,Construction,2016-02-04 00:00:00,P.S. 56 - BROOKLYN,In-Progress,RCT CIP,4428,1
324,DSF: 0000799685,30130,11031,K056,ELECTRICAL LIGHTING FIXTURES,13,2015-01-20 00:00:00,2014-09-18 00:00:00,Design,2015-01-22 00:00:00,P.S. 56 - BROOKLYN,Complete,RCT CIP,26060,0
325,DSF: 0000799685,6299,3893,K056,ELECTRICAL LIGHTING FIXTURES,13,2014-09-17 00:00:00,2014-07-21 00:00:00,Scope,2014-09-19 00:00:00,P.S. 56 - BROOKLYN,Complete,RCT CIP,6299,0
326,DSF: 0000776699,102481,DIIT,K057,CLASSROOM CONNECTIVITY,16,2017-05-02 15:32:05.469136,2013-06-24 00:00:00,Purch & Install,2013-12-31 00:00:00,J.H.S. 57 - BROOKLYN,In-Progress,DIIT - Project Conne,0,3
327,DSF: 0000800485,100000,100000,K057,FY15 RESO A LIBRARY UPGRADE,16,2017-05-02 15:32:05.469136,2015-06-23 00:00:00,Construction,DOER,BROOKLYN ACADEMY OF GLOBAL FIN,In-Progress,DOE- RESOA,43697,1
328,DSF: 0000799538,25492,34298,K057,ELECTRICAL LIGHTING FIXTURES,16,2015-10-13 00:00:00,2015-08-06 00:00:00,"CM, F&E",2016-03-02 00:00:00,J.H.S. 57 - BROOKLYN,Complete,RCT CIP,22476,0
329,DSF: 0000799538,168258,178506,K057,ELECTRICAL LIGHTING FIXTURES,16,2015-10-13 00:00:00,2015-08-06 00:00:00,Construction,2016-03-02 00:00:00,J.H.S. 57 - BROOKLYN,Complete,RCT CIP,4299,1
330,DSF: 0000799538,6115,13252,K057,ELECTRICAL LIGHTING FIXTURES,16,2015-05-15 00:00:00,2014-12-15 00:00:00,Design,2015-04-16 00:00:00,J.H.S. 57 - BROOKLYN,Complete,RCT CIP,973,0
331,DSF: 0000799538,6090,4677,K057,ELECTRICAL LIGHTING FIXTURES,16,2014-12-15 00:00:00,2014-10-22 00:00:00,Scope,2014-12-24 00:00:00,J.H.S. 57 - BROOKLYN,Complete,RCT CIP,90,0
334,DSF: 0000802044,3365,70995,K057,PUBLIC ADDRESS SYSTEM REPLACEMENT,16,2015-10-07 00:00:00,2015-07-23 00:00:00,Design,2015-12-24 00:00:00,J.H.S. 57 - BROOKLYN,Complete,SCA CIP,3365,1
335,DSF: 0000802044,841,17749,K057,PUBLIC ADDRESS SYSTEM REPLACEMENT,16,2015-03-09 00:00:00,2015-01-12 00:00:00,Scope,2015-04-13 00:00:00,J.H.S. 57 - BROOKLYN,Complete,SCA CIP,841,0
336,DSF: 0000776236,164632,DIIX,K059,NEW/RETROFIT TELEPHONE/INTERCOM SYSTEMS,14,2017-05-02 15:32:05.469136,2013-06-24 00:00:00,Purch & Install,2013-12-31 00:00:00,P.S. 59 - BROOKLYN,In-Progress,DIIT - PBX Telephone,0,3
337,DSF: 0000800457,166833,160000,K059,FY15 RESO A TOILETS - STUDENTS,14,2015-09-01 00:00:00,2014-11-13 00:00:00,Construction,2015-06-11 00:00:00,P.S. 59 - BROOKLYN,Complete,DOE- RESOA,160000,1
338,DSF: 0000821897,5500,DOES,K059,"VACUUM PUMP REPLACEMENT, AUTOMATIC",14,2017-05-02 15:32:05.469136,2015-04-13 00:00:00,Construction,DOES,P.S. 59 - BROOKLYN,In-Progress,DOE - Skilled Trades,0,3
339,DSF: 0000776312,223978,DIIX,K061,NEW/RETROFIT TELEPHONE/INTERCOM SYSTEMS,17,2017-05-02 15:32:05.469136,2013-06-24 00:00:00,Purch & Install,2013-12-31 00:00:00,I.S. 61 - BROOKLYN,In-Progress,DIIT - PBX Telephone,0,3
340,DSF: 0000802105,105626,DOES,K061,TOILETS - STUDENTS,17,2017-05-02 15:32:05.469136,2015-12-30 00:00:00,Construction,DOES,I.S. 61 - BROOKLYN,In-Progress,DOE - Skilled Trades,80440,3
341,DSF: 0000822027,255103,1692405,K063,PRE-K PROJECT PHASE 1,22,2015-06-08 00:00:00,2015-05-19 00:00:00,Construction,2015-08-16 00:00:00,PRE-K CENTER @ 1340 EAST 29TH,Complete,DOE Managed PREK,4833,2
342,DSF: 0000822027,0,0,K063,PRE-K PROJECT PHASE 1,22,2015-03-27 00:00:00,2015-03-20 00:00:00,Scope,2015-04-02 00:00:00,PRE-K CENTER @ 1340 EAST 29TH,Complete,DOE Managed PREK,0,0
343,DSF: 0000821811,55142,1141767,K063,LEASE,22,2017-05-02 15:32:05.469136,2015-12-07 00:00:00,"CM, F&E",2016-12-05 00:00:00,PRE-K CENTER @ 1340 EAST 29TH,In-Progress,PRE-K,53318,2
344,DSF: 0000821811,11091233,12178848,K063,LEASE,22,2017-05-02 15:32:05.469136,2015-12-07 00:00:00,Construction,2016-12-05 00:00:00,PRE-K CENTER @ 1340 EAST 29TH,In-Progress,PRE-K,48413,3
345,DSF: 0000821811,502899,761178,K063,LEASE,22,2015-09-16 00:00:00,2015-03-30 00:00:00,Design,2015-08-03 00:00:00,PRE-K CENTER @ 1340 EAST 29TH,Complete,PRE-K,502479,2
346,DSF: 0000821811,146946,190294,K063,LEASE,22,2015-03-27 00:00:00,2015-03-20 00:00:00,Scope,2015-03-27 00:00:00,PRE-K CENTER @ 1340 EAST 29TH,Complete,PRE-K,142946,1
347,DSF: 0000776706,DIIT,DIIT,K066,CLASSROOM CONNECTIVITY,18,2015-10-21 00:00:00,2015-07-01 00:00:00,Purch & Install,2016-07-01 00:00:00,P.S. 66 - BROOKLYN,Complete,DIIT - Project Conne,0,3
348,DSF:,55786,DOEL,K067,LEAD PAINT ABATEMENT,13,2015-06-04 00:00:00,2014-03-04 00:00:00,Construction,2015-06-04 00:00:00,P.S. 67 - BROOKLYN,Complete,DOE - Lead Paint,55786,3
350,DSF: 0000799686,3428,37840,K067,ELECTRICAL LIGHTING FIXTURES,13,2017-05-02 15:32:05.469136,2015-10-23 00:00:00,"CM, F&E",2016-05-19 00:00:00,P.S. 67 - BROOKLYN,In-Progress,RCT CIP,3428,0
351,DSF: 0000799686,199201,196940,K067,ELECTRICAL LIGHTING FIXTURES,13,2017-05-02 15:32:05.469136,2015-10-23 00:00:00,Construction,2016-05-19 00:00:00,P.S. 67 - BROOKLYN,In-Progress,RCT CIP,11523,1
352,DSF: 0000799686,38714,14620,K067,ELECTRICAL LIGHTING FIXTURES,13,2015-05-04 00:00:00,2014-10-01 00:00:00,Design,2015-02-04 00:00:00,P.S. 67 - BROOKLYN,Complete,RCT CIP,14713,0
353,DSF: 0000799686,12548,5160,K067,ELECTRICAL LIGHTING FIXTURES,13,2014-10-01 00:00:00,2014-08-05 00:00:00,Scope,2014-10-06 00:00:00,P.S. 67 - BROOKLYN,Complete,RCT CIP,6548,0
354,DSF: 0000776708,274650,DIIT,K068,CLASSROOM CONNECTIVITY,18,2017-05-02 15:32:05.469136,2013-06-24 00:00:00,Purch & Install,2013-12-31 00:00:00,I.S. 68 - BROOKLYN,In-Progress,DIIT - Project Conne,0,3
355,DSF: 0000798698,238456,236050,K068,FY14 RESO A AUDITORIUM UPGRADE,18,2015-09-02 00:00:00,2014-07-21 00:00:00,Construction,2015-05-28 00:00:00,I.S. 68 - BROOKLYN,Complete,DOE- RESOA,236050,2
356,DSF: 0000778852,38357,DOES,K068,WATER HEATERS,18,2017-05-02 15:32:05.469136,2015-07-29 00:00:00,Construction,DOES,I.S. 68 - BROOKLYN,In-Progress,DOE - Skilled Trades,23436,3
357,DSF: 0000776108,17000,DOES,K068,PLANYC OIL CONVERSION PROJECT,18,2017-05-02 15:32:05.469136,2013-07-17 00:00:00,Construction,DOES,I.S. 68 - BROOKLYN,In-Progress,DOE - Skilled Trades,11668,3
358,DSF: 0000776709,426978,DIIT,K069,CLASSROOM CONNECTIVITY,20,2015-10-21 00:00:00,2015-07-01 00:00:00,Purch & Install,2016-07-01 00:00:00,P.S. 69 - BROOKLYN,Complete,DIIT - Project Conne,426978,3
361,DSF: 0000823625,70866,70866,K071,RENEWAL SBHC,14,2017-05-02 15:32:05.469136,2015-11-06 00:00:00,Design,2016-04-12 00:00:00,I.S. 71 - BROOKLYN,In-Progress,SCA CIP,0,1
362,DSF: 0000823625,0,17717,K071,RENEWAL SBHC,14,2015-11-06 00:00:00,2015-10-14 00:00:00,Scope,2016-01-19 00:00:00,I.S. 71 - BROOKLYN,Complete,SCA CIP,0,0
367,DSF: 0000778918,195382,DOES,K073,BATHROOM UPGRADE ROOMS 209 AND 306,23,2017-05-02 15:32:05.469136,2014-12-11 00:00:00,Construction,DOES,P.S. 73 - BROOKLYN,In-Progress,DOE - Skilled Trades,183382,3
370,"DSF: 0000028933, 0000802235, 0000802236, 0000821912",364473,637098,K073,EXT MASONRY/FLOOD ELIMINATION/PARAPETS/ROOFS,23,2015-10-28 00:00:00,2015-04-01 00:00:00,Design,2015-08-31 00:00:00,P.S. 73 - BROOKLYN,Complete,SCA CIP,171839,2
371,"DSF: 0000028933, 0000802235, 0000802236, 0000821912",161801,165434,K073,EXT MASONRY/FLOOD ELIMINATION/PARAPETS/ROOFS,23,2014-12-12 00:00:00,2014-01-30 00:00:00,Scope,2014-06-16 00:00:00,P.S. 73 - BROOKLYN,Complete,SCA CIP,154161,1
372,DSF: 0000778943,47093,DOES,K075,WATER HEATER REPLACEMENT,32,2015-04-30 00:00:00,2014-09-03 00:00:00,Construction,2015-04-30 00:00:00,P.S. 75 - BROOKLYN,Complete,DOE - Skilled Trades,47093,3
373,DSF: 0000778935,68458,138160,K075,ELECTRICAL LIGHTING FIXTURES,32,2017-05-02 15:32:05.469136,2015-11-02 00:00:00,"CM, F&E",2016-09-14 00:00:00,P.S. 75 - BROOKLYN,In-Progress,RCT CIP,505,1
374,DSF: 0000778935,670186,719060,K075,ELECTRICAL LIGHTING FIXTURES,32,2017-05-02 15:32:05.469136,2015-11-02 00:00:00,Construction,2016-09-14 00:00:00,P.S. 75 - BROOKLYN,In-Progress,RCT CIP,306,2
375,DSF: 0000778935,1751,53380,K075,ELECTRICAL LIGHTING FIXTURES,32,2015-09-08 00:00:00,2015-07-27 00:00:00,Design,2015-11-27 00:00:00,P.S. 75 - BROOKLYN,Complete,RCT CIP,1751,1
376,DSF: 0000778935,438,18840,K075,ELECTRICAL LIGHTING FIXTURES,32,2015-07-27 00:00:00,2015-07-27 00:00:00,Scope,2015-07-27 00:00:00,P.S. 75 - BROOKLYN,Complete,RCT CIP,438,0
377,"DSF: 0000712325, 0000733667, 0000733668, 0000733669",865324,503461,K075,FLOOD ELIMINATION/PARAPETS/EXTERIOR WALLS/ROOFS,32,2015-07-07 00:00:00,2014-04-14 00:00:00,"CM, F&E",2015-07-07 00:00:00,P.S. 75,Complete,SCA CIP,854035,2
378,"DSF: 0000712325, 0000733667, 0000733668, 0000733669",3783736,3618503,K075,FLOOD ELIMINATION/PARAPETS/EXTERIOR WALLS/ROOFS,32,2015-07-07 00:00:00,2014-04-14 00:00:00,Construction,2015-07-07 00:00:00,P.S. 75,Complete,SCA CIP,3708005,2
379,"DSF: 0000712325, 0000733667, 0000733668, 0000733669",266302,253317,K075,FLOOD ELIMINATION/PARAPETS/EXTERIOR WALLS/ROOFS,32,2012-04-20 00:00:00,2012-01-11 00:00:00,Design,2012-06-11 00:00:00,P.S. 75,Complete,SCA CIP,254347,2
380,"DSF: 0000712325, 0000733667, 0000733668, 0000733669",105744,79043,K075,FLOOD ELIMINATION/PARAPETS/EXTERIOR WALLS/ROOFS,32,2012-01-10 00:00:00,2011-09-21 00:00:00,Scope,2012-02-09 00:00:00,P.S. 75,Complete,SCA CIP,104381,1
382,DSF: 0000822142,183340,DOES,K078,TOILETS - STUDENTS,22,2017-05-02 15:32:05.469136,2015-07-15 00:00:00,Construction,DOES,I.S. 78 - BROOKLYN,In-Progress,DOE - Skilled Trades,157862,3
389,DSF: 0000802291,12079,62739,K081,PUBLIC ADDRESS SYSTEM REPLACEMENT,16,2015-12-09 00:00:00,2015-05-21 00:00:00,Design,2015-10-22 00:00:00,P.S. 81 - BROOKLYN,Complete,SCA CIP,12079,1
390,DSF: 0000802291,3020,22143,K081,PUBLIC ADDRESS SYSTEM REPLACEMENT,16,2015-03-18 00:00:00,2015-01-26 00:00:00,Scope,2015-04-24 00:00:00,P.S. 81 - BROOKLYN,Complete,SCA CIP,3020,0
391,DSF: 0000754507,308660,181928,K084,FY13 RESO A- ROOFTOP,14,2015-08-23 00:00:00,2014-09-15 00:00:00,"CM, F&E",2015-06-11 00:00:00,P.S. 84 - BROOKLYN,Complete,SCA CIP RESOA,306087,1
392,DSF: 0000754507,2257398,2668270,K084,FY13 RESO A- ROOFTOP,14,2015-08-23 00:00:00,2014-09-15 00:00:00,Construction,2015-06-11 00:00:00,P.S. 84 - BROOKLYN,Complete,SCA CIP RESOA,2178061,2
393,DSF: 0000754507,25609,181928,K084,FY13 RESO A- ROOFTOP,14,2013-11-20 00:00:00,2013-11-20 00:00:00,Design,2013-11-20 00:00:00,P.S. 84 - BROOKLYN,Complete,SCA CIP RESOA,23036,1
394,DSF: 0000754507,35928,0,K084,FY13 RESO A- ROOFTOP,14,2013-11-20 00:00:00,2013-11-20 00:00:00,Scope,2013-11-20 00:00:00,P.S. 84 - BROOKLYN,Complete,SCA CIP RESOA,35925,0
395,DSF: 0000776718,280441,DIIT,K085,CLASSROOM CONNECTIVITY,13,2017-05-02 15:32:05.469136,2013-06-24 00:00:00,Purch & Install,2014-06-30 00:00:00,K753 SPED - BROOKLYN,In-Progress,DIIT - Project Conne,0,3
396,DSF: 0000756538,248000,DOES,K085,ELEVATORS,13,2015-01-23 00:00:00,2014-02-07 00:00:00,Construction,2015-01-23 00:00:00,K753 SPED - BROOKLYN,Complete,DOE - Skilled Trades,248000,3
397,DSF: 0000779007,11747,176880,K085,ELECTRICAL LIGHTING FIXTURES,13,2015-06-08 00:00:00,2015-02-25 00:00:00,"CM, F&E",2015-11-21 00:00:00,K753 SPED - BROOKLYN,Complete,RCT CIP,11747,1
398,DSF: 0000779007,862257,920580,K085,ELECTRICAL LIGHTING FIXTURES,13,2015-06-08 00:00:00,2015-02-25 00:00:00,Construction,2015-11-21 00:00:00,K753 SPED - BROOKLYN,Complete,RCT CIP,780907,2
399,DSF: 0000779007,22043,68340,K085,ELECTRICAL LIGHTING FIXTURES,13,2014-12-02 00:00:00,2014-09-24 00:00:00,Design,2015-01-23 00:00:00,K753 SPED - BROOKLYN,Complete,RCT CIP,22043,1
400,DSF: 0000779007,5231,24120,K085,ELECTRICAL LIGHTING FIXTURES,13,2014-09-24 00:00:00,2014-09-24 00:00:00,Scope,2014-09-24 00:00:00,K753 SPED - BROOKLYN,Complete,RCT CIP,5231,0
402,"DSF: 0000733730, 0000779019",34239,196680,K085,LOW VOLTAGE ELEC SYSTEM/ANSUL SYSTEM,13,2017-05-02 15:32:05.469136,2014-12-08 00:00:00,"CM, F&E",2015-12-07 00:00:00,K753 SPED - BROOKLYN,In-Progress,SCA CIP,34239,1
403,"DSF: 0000733730, 0000779019",927551,1023630,K085,LOW VOLTAGE ELEC SYSTEM/ANSUL SYSTEM,13,2017-05-02 15:32:05.469136,2014-12-08 00:00:00,Construction,2015-12-07 00:00:00,K753 SPED - BROOKLYN,In-Progress,SCA CIP,842133,2
405,"DSF: 0000733730, 0000779019",92311,75990,K085,LOW VOLTAGE ELEC SYSTEM/ANSUL SYSTEM,13,2013-11-14 00:00:00,2013-04-17 00:00:00,Design,2013-10-18 00:00:00,K753 SPED - BROOKLYN,Complete,SCA CIP,89944,1
406,"DSF: 0000779005, 0000798249",30256,440046,K085,PLANYC BOILER CNVRSN/PLANYC CLIMATE CTRL,13,2015-11-02 00:00:00,2014-09-02 00:00:00,Design,2015-02-05 00:00:00,K753 SPED - BROOKLYN,Complete,SCA CIP,30184,2
407,"DSF: 0000733730, 0000779019",23528,26820,K085,LOW VOLTAGE ELEC SYSTEM/ANSUL SYSTEM,13,2013-03-22 00:00:00,2013-01-18 00:00:00,Scope,2013-04-19 00:00:00,K753 SPED - BROOKLYN,Complete,SCA CIP,23528,0
408,"DSF: 0000779005, 0000798249",43212,110011,K085,PLANYC BOILER CNVRSN/PLANYC CLIMATE CTRL,13,2014-08-20 00:00:00,2014-07-09 00:00:00,Scope,2014-12-10 00:00:00,K753 SPED - BROOKLYN,Complete,SCA CIP,38662,1
412,DSF: 0000800374,14214,0,K085,FY15 RESO A AUDITORIUM UPGRADE,13,2015-06-11 00:00:00,2015-01-13 00:00:00,Scope,2015-05-14 00:00:00,K753 SPED - BROOKLYN,Complete,SCA CIP RESOA,1914,0
413,DSF: 0000798803,52286,50000,K086,FY14 RESO A TOILETS - STUDENTS,32,2015-09-03 00:00:00,2015-05-08 00:00:00,Construction,2015-09-03 00:00:00,P.S. 86 - BROOKLYN,Complete,DOE- RESOA,52286,0
414,DSF: 0000779033,358606,DOES,K086,BATHROOM UPGRADE ROOMS 107 AND 108,32,2017-05-02 15:32:05.469136,2014-11-26 00:00:00,Construction,DOES,P.S. 86 - BROOKLYN,In-Progress,DOE - Skilled Trades,358606,3
415,DSF: 0000800539,34645,35000,K088,FY15 RESO A TECHNOLOGY,15,2015-09-02 00:00:00,2015-06-30 00:00:00,Purch & Install,2015-08-12 00:00:00,I.S. 88 - BROOKLYN,Complete,DIIT - RESOA,34645,0
416,DSF: 0000822135,120057,DOES,K088,TOILETS - STUDENTS,15,2017-05-02 15:32:05.469136,2015-07-27 00:00:00,Construction,DOES,I.S. 88 - BROOKLYN,In-Progress,DOE - Skilled Trades,891,3
417,DSF: 0000802365,124236,DOES,K088,BATHROOM UPGRADE,15,2017-05-02 15:32:05.469136,2015-12-16 00:00:00,Construction,DOES,I.S. 88 - BROOKLYN,In-Progress,DOE - Skilled Trades,432,3
420,"DSF: 0000775609, 0000775610",282382,282382,K088,PLAYNYC BOILER CONVERSION/CLIMATE CONTROL,15,2017-05-02 15:32:05.469136,2014-02-03 00:00:00,Design,2014-07-03 00:00:00,I.S. 88 - BROOKLYN,In-Progress,SCA CIP,179066,2
421,"DSF: 0000775609, 0000775610",96344,79000,K088,PLAYNYC BOILER CONVERSION/CLIMATE CONTROL,15,2014-01-31 00:00:00,2013-07-19 00:00:00,Scope,2013-12-20 00:00:00,I.S. 88 - BROOKLYN,Complete,SCA CIP,96344,1
422,DSF: 0000775946,173628,DOES,K090,SANDY ELEVATOR,21,2017-05-02 15:32:05.469136,2013-03-20 00:00:00,Construction,DOES,P.S. 90 - BROOKLYN,In-Progress,DOE - Skilled Trades,151963,3
423,"DSF: 0000023490, 0000028438",2420719,FTK,K090,EMERGENCY PROTECTIVE MEASURES - HURRICANE SANDY,21,2017-05-02 15:32:05.469136,2012-10-31 00:00:00,Construction,FTK,P.S. 90 - BROOKLYN,In-Progress,Fast Track Projects,2112719,3
424,"DSF: 0000756589, 0000756596, 0000756597, 0000777684, 0000777685, 0000779064, 0000779077",478888,1487700,K090,SANDY:FLOOD/ELEC/HEATI/INTERIOR/ROOF/HVAC/CLIMATE,21,2017-05-02 15:32:05.469136,2014-07-11 00:00:00,"CM, F&E",2016-07-09 00:00:00,P.S. 90 - BROOKLYN,In-Progress,SCA CIP,467861,2
425,"DSF: 0000756589, 0000756596, 0000756597, 0000777684, 0000777685, 0000779064, 0000779077",15153954,16683851,K090,SANDY:FLOOD/ELEC/HEATI/INTERIOR/ROOF/HVAC/CLIMATE,21,2017-05-02 15:32:05.469136,2014-07-11 00:00:00,Construction,2016-07-09 00:00:00,P.S. 90 - BROOKLYN,In-Progress,SCA CIP,12010628,3
426,"DSF: 0000756589, 0000756596, 0000756597, 0000777684, 0000777685, 0000779064, 0000779077",606999,1051901,K090,SANDY:FLOOD/ELEC/HEATI/INTERIOR/ROOF/HVAC/CLIMATE,21,2014-05-13 00:00:00,2014-03-20 00:00:00,Design,2014-08-19 00:00:00,P.S. 90 - BROOKLYN,Complete,SCA CIP,513744,2
427,"DSF: 0000756589, 0000756596, 0000756597, 0000777684, 0000777685, 0000779064, 0000779077",208065,305616,K090,SANDY:FLOOD/ELEC/HEATI/INTERIOR/ROOF/HVAC/CLIMATE,21,2014-03-19 00:00:00,2013-10-11 00:00:00,Scope,2014-03-19 00:00:00,P.S. 90 - BROOKLYN,Complete,SCA CIP,207474,2
428,DSF: 0000776722,349565,DIIT,K091,CLASSROOM CONNECTIVITY,17,2017-05-02 15:32:05.469136,2013-06-24 00:00:00,Purch & Install,2013-12-31 00:00:00,P.S. 91 - BROOKLYN,In-Progress,DIIT - Project Conne,349565,3
429,DSF:,41427,DOEL,K091,LEAD PAINT ABATEMENT,17,2015-02-09 00:00:00,2014-12-09 00:00:00,Construction,2015-02-09 00:00:00,P.S. 91 - BROOKLYN,Complete,DOE - Lead Paint,41427,3
430,DSF: 0000799539,30674,47278,K092,ELECTRICAL LIGHTING FIXTURES,17,2015-10-09 00:00:00,2015-07-01 00:00:00,"CM, F&E",2016-01-26 00:00:00,P.S. 92 - BROOKLYN,Complete,RCT CIP,23296,0
431,DSF: 0000799539,240612,246061,K092,ELECTRICAL LIGHTING FIXTURES,17,2015-10-09 00:00:00,2015-07-01 00:00:00,Construction,2016-01-26 00:00:00,P.S. 92 - BROOKLYN,Complete,RCT CIP,3313,2
432,DSF: 0000799539,32719,18267,K092,ELECTRICAL LIGHTING FIXTURES,17,2015-05-06 00:00:00,2014-12-22 00:00:00,Design,2015-04-23 00:00:00,P.S. 92 - BROOKLYN,Complete,RCT CIP,22347,0
433,DSF: 0000799539,6702,6447,K092,ELECTRICAL LIGHTING FIXTURES,17,2014-12-22 00:00:00,2014-10-28 00:00:00,Scope,2014-12-31 00:00:00,P.S. 92 - BROOKLYN,Complete,RCT CIP,701,0
434,DSF: 0000756631,106187,81047,K092,FIRE ALARM,17,2015-07-21 00:00:00,2014-08-18 00:00:00,"CM, F&E",2015-08-17 00:00:00,P.S. 92 - BROOKLYN,Complete,SCA CIP,106037,1
435,DSF: 0000756631,1205925,1302544,K092,FIRE ALARM,17,2015-07-21 00:00:00,2014-08-18 00:00:00,Construction,2015-08-17 00:00:00,P.S. 92 - BROOKLYN,Complete,SCA CIP,1107155,2
